Bull Temple	https://media-cdn.tripadvisor.com/media/photo-s/01/1f/a2/0b/bangalore.jpg	huge nandi,large stone,single rock,black stone,lord shiva,chamundi hills,bugle rock park,worth a visit,quick visit,ground nut,small hillock,the main attraction,south bangalore,calm place,nice place to visit,groundnut,basavanagudi,crops,granite,bats	http://maps.google.co.in/maps?daddr=Bugle+Hill%2C+Bull+Temple+Rd%2C+Basavangudi%2C+Bengaluru+%28Bangalore%29%2C+India	[]	places	{}
Orion Mall	https://media-cdn.tripadvisor.com/media/photo-s/05/c9/17/b8/breathtaking-view-from.jpg	artificial lake,food court,brigade gateway,world trade,bowling alley,man made lake,sheraton hotel,pvr cinemas,lake view,flea market,entertainment options,international brands,cafe noir,shopping options,fourth floor,gaming zone,four floors,water body,shopping experience,weekend outing	http://maps.google.co.in/maps?daddr=Brigade+Gateway%2C+26%2F1%2C+Dr.+Rajkumar+Road+%7C+Malleshwaram+West%2C+Bengaluru+%28Bangalore%29+560055%2C+India	[]	places	{}
Mahatma Gandhi (MG) Road	https://media-cdn.tripadvisor.com/media/photo-s/01/3d/7b/ec/mahatma-ghandi-mg-road.jpg	brigade road,metro station,church street,namma metro,happening place in bangalore,busiest road,trinity circle,lots of shops,restaurants and pubs,happening places,shoppers paradise,shopping area,food outlets,old charm,cricket stadium,garuda mall,cubbon park,evening walk,the heart of the city,window shopping	http://maps.google.co.in/maps?daddr=MG+Road%2C+Bengaluru+%28Bangalore%29%2C+India	[]	places	{}
Commercial Street	https://media-cdn.tripadvisor.com/media/photo-s/08/28/ac/40/at-night.jpg	shoppers paradise,shop till you drop,branded showrooms,local brands,latest trends,fashion accessories,shiv sagar,shopping destination,sweet shops,shopping lovers,great shopping,branded stuff,small shops,shopping area,big brands,window shopping,lots of shops,walkable distance,parking space,nice food	http://maps.google.co.in/maps?daddr=Commercial+St+%7C+Tasker+Town%2C+Bengaluru+%28Bangalore%29+560001%2C+India	[]	places	{}
Bannerghatta National Park	https://media-cdn.tripadvisor.com/media/photo-s/01/2e/26/52/the-bear-wanted-to-know.jpg	wild animals,white tiger,safari ride,lion safari,their natural habitat,animal lovers,great safari,zoo area,butterfly garden,big cats,ac bus,jungle lodges,small zoo,kids will love,ticket counter,long queue,the main attraction,nice experience,family outing,seals	http://maps.google.co.in/maps?daddr=Bannerghatta+Road+%7C+Bannerghatta%2C+Bengaluru+%28Bangalore%29%2C+India	[]	places	{}
Vidhana Soudha and Attara Kacheri	https://media-cdn.tripadvisor.com/media/photo-s/01/24/6a/ba/vidhana-soudha-in-bangalore.jpg	high court,legislative assembly,chief minister,cubbon park,beautiful building,great architecture,state government,red building,security concerns,dravidian architecture,sundays and public holidays,imposing structure,indian architecture,metro construction,land mark,visiting bangalore,take photos,shivaji nagar,must visit place,the heart of the city	http://maps.google.co.in/maps?daddr=Cubbon+Park%2C+Bengaluru+%28Bangalore%29%2C+India	[]	places	{}
ISKCON Bangalore, Sri Sri Lakshmi Narasimha Temple	https://media-cdn.tripadvisor.com/media/photo-s/03/b9/ef/48/iskcon-bangalore-sri.jpg	hare rama,religious place,samosas,main hall,crowd management,divine experience,must visit place,peace of mind,beautiful architecture,peaceful place,maintained place,dont miss,orion mall,the main attraction,iskcon,prasadam,devotees,god,rhythm,arti	http://maps.google.co.in/maps?daddr=West+of+Chord+Road+%7C+Rajaji+Nagar%2C+Bengaluru+%28Bangalore%29+560010%2C+India	[]	places	{}
Infant Jesus Shrine	https://media-cdn.tripadvisor.com/media/photo-s/03/43/0b/69/infant-jesus-shrine.jpg	different languages,holy mass,basement parking,beautiful church,nagar area,main church,feast days,candles and flowers,mezzanine area,nativity scene,road stretch,big church,light a candle,attending mass,holy place,boys and girls,narrow lanes,old church,seating capacity,special days	http://maps.google.co.in/maps?daddr=Bazaar+Street%2C+Vivek+Nagar%2C+Bengaluru+%28Bangalore%29+560047%2C+India	[]	places	{}
Parshwanath Sushil Dham	https://media-cdn.tripadvisor.com/media/photo-s/07/fb/9d/18/parshwanath-sushil-dham.jpg	jain temple,hosur road,white marble,peaceful place,beautiful temple,bangalore city,worth a visit,outskirts,footwear,mesmerizing,architecture,nature	http://maps.google.co.in/maps?daddr=26%2F2+Balagarana+Halli%2C+Bengaluru+%28Bangalore%29%2C+India	[]	places	{}
1 MG Lido Mall	https://media-cdn.tripadvisor.com/media/photo-s/02/c6/40/45/1-mg-mall.jpg	trinity circle,food court,cha bar,taj vivanta hotel,marks and spencer,prime location,play area for kids,fine dining,luxury brands,parking space,imported,shopping,1mg,socks,upmarket,rates,outlets,varieties,indian	http://maps.google.co.in/maps?daddr=172%2C+Swami+Vivekananda+Road%2C+Bengaluru+%28Bangalore%29+560008%2C+India	"[""[u'10:00 - 22:00']""]"	places	{}
Shanmukha Temple	https://media-cdn.tripadvisor.com/media/photo-s/07/49/08/86/shanmukha-temple.jpg	hill resort,architectural design,nice road,sanctum sanctorum,cool breeze,small hillock,dont miss,worth a visit,rr,raja,nagar,crystals,stage,lord,cars,bharathi,blessings,abode,collection,sri	http://maps.google.co.in/maps?daddr=Rajarajeshwari+Nagar%2C+Bengaluru+%28Bangalore%29%2C+India	[]	places	{}
Innovative Film City	https://media-cdn.tripadvisor.com/media/photo-s/01/1e/34/86/caption.jpg		http://maps.google.co.in/maps?daddr=24+%26+26%2C+Bidadi+Industrial+Estate%2C+Bengaluru+%28Bangalore%29+562+109%2C+India	[]	places	{}
Bugle Rock	https://media-cdn.tripadvisor.com/media/photo-s/05/16/58/aa/bugle-rock.jpg	massive rock,cultural activities,watch tower,musical fountain,bull temple,million years,small rocks,great eateries,nice park,south bangalore,play area for kids,nice place,must visit place,senior citizens,gandhi bazaar,all ages,sentry,bats,kempegowda,basavanagudi	http://maps.google.co.in/maps?daddr=Basavanagudi%2C+Bengaluru+%28Bangalore%29%2C+India	[]	places	{}
Anjaneya Swamy Temple	https://media-cdn.tripadvisor.com/media/photo-s/06/ae/c2/50/anjaneya-swamy-temple.jpg	sri prasanna,vadas,single stone,great faith,attractive manner,rare books,main structure,powerful god,busy area,outer ring road,heavy rush,huge garden,devotion,rama,height,midst,pooja,idol,devotees,lord	http://maps.google.co.in/maps?daddr=Banaswadi%2C+Bengaluru+%28Bangalore%29%2C+India	[]	places	{}
